,Date,weighted_Volume
0,Oct 02  2019,7414186.880126594
1,Oct 01  2019,7068523.224450654
2,Sep 30  2019,8457719.06282578
3,Sep 29  2019,7326951.147237191
4,Sep 28  2019,7613004.042955013
5,Sep 27  2019,8251674.590631192
6,Sep 26  2019,7262630.832067409
7,Sep 25  2019,11895584.592456529
8,Sep 24  2019,9619653.256372336
9,Sep 23  2019,7569026.456813375
10,Sep 22  2019,7869819.383791915
11,Sep 21  2019,10640574.155015199
12,Sep 20  2019,11350630.086396663
13,Sep 19  2019,8316225.794432993
14,Sep 18  2019,6980235.823589399
15,Sep 17  2019,6332995.732174545
16,Sep 16  2019,6480372.350636067
17,Sep 15  2019,9213524.83876237
18,Sep 14  2019,7123320.744554392
19,Sep 13  2019,8032219.383626466
20,Sep 12  2019,9216767.41112438
21,Sep 11  2019,9618234.323681125
22,Sep 10  2019,7585153.447996331
23,Sep 09  2019,8904546.58866599
24,Sep 08  2019,8992418.678817624
25,Sep 07  2019,9063622.800043184
26,Sep 06  2019,8222963.200475021
27,Sep 05  2019,7740953.783980237
28,Sep 04  2019,7306336.872673147
29,Sep 03  2019,10991283.972535878
30,Sep 02  2019,7437691.009711645
31,Sep 01  2019,6383312.149517151
32,Aug 31  2019,5450622.175854057
33,Aug 30  2019,5279678.830576429
34,Aug 29  2019,7136109.76934174
35,Aug 28  2019,5459601.231120966
36,Aug 27  2019,5070175.201929716
37,Aug 26  2019,6440191.944377341
38,Aug 25  2019,5795749.685433001
39,Aug 24  2019,6051916.520671445
40,Aug 23  2019,6282076.48530268
41,Aug 22  2019,32640294.43770939
42,Aug 21  2019,121513409.86981122
43,Aug 20  2019,2199187.5827101218
44,Aug 19  2019,2435128.3057996323
45,Aug 18  2019,2372268.84796575
46,Aug 17  2019,2312252.0647466904
47,Aug 16  2019,2589764.270331146
48,Aug 15  2019,2539796.7269000653
49,Aug 14  2019,3014387.0751842884
50,Aug 13  2019,2671280.3339747917
51,Aug 12  2019,2320436.7340695253
52,Aug 11  2019,2630844.5522860116
53,Aug 10  2019,2678146.7972883773
54,Aug 09  2019,2826920.0702989376
55,Aug 08  2019,4276658.658639955
56,Aug 07  2019,3504407.141049821
57,Aug 06  2019,5122485.095921496
58,Aug 05  2019,4932257.760800627
59,Aug 04  2019,2274379.0980837415
60,Aug 03  2019,2437538.3137958725
61,Aug 02  2019,2695762.211090107
62,Aug 01  2019,2194570.294428758
63,Jul 31  2019,2791156.8697009985
64,Jul 30  2019,2264754.129439851
65,Jul 29  2019,2661323.5378546873
66,Jul 28  2019,2563029.494314973
67,Jul 27  2019,3064717.0796190794
68,Jul 26  2019,2687413.626264209
69,Jul 25  2019,3297523.7521056966
70,Jul 24  2019,3407374.8249106766
71,Jul 23  2019,3509070.083348096
72,Jul 22  2019,3588348.421350587
73,Jul 21  2019,2068364.5747907779
74,Jul 20  2019,2399215.7756262645
75,Jul 19  2019,2392362.0029373355
76,Jul 18  2019,3740776.859678343
77,Jul 17  2019,3402427.382785343
78,Jul 16  2019,2901485.099370372
79,Jul 15  2019,2845028.586834491
80,Jul 14  2019,3171246.4018168207
81,Jul 13  2019,2830250.865286285
82,Jul 12  2019,1890167.4017287754
83,Jul 11  2019,2067079.9386159438
84,Jul 10  2019,3947303.947823109
85,Jul 09  2019,2141880.738275993
86,Jul 08  2019,2217674.5214985064
87,Jul 07  2019,1601023.9729854113
88,Jul 06  2019,1284579.8363267411
89,Jul 05  2019,1402906.8035020593
90,Jul 04  2019,2335696.885165799
91,Jul 03  2019,3331892.6352162254
92,Jul 02  2019,3529100.670520428
93,Jul 01  2019,3001760.5813304484
94,Jun 30  2019,3465363.2095278054
95,Jun 29  2019,2060437.3170119266
96,Jun 28  2019,2975450.48411307
97,Jun 27  2019,10098175.613981167
98,Jun 26  2019,42930809.37510302
99,Jun 25  2019,25064102.911489364
100,Jun 24  2019,20084818.921332743
101,Jun 23  2019,25207126.51360542
102,Jun 22  2019,48301820.17252347
103,Jun 21  2019,6928298.028034722
104,Jun 20  2019,4709825.423497435
105,Jun 19  2019,2034281.9807227144
106,Jun 18  2019,3355822.5783702796
107,Jun 17  2019,2806285.986010511
108,Jun 16  2019,4819455.6032831725
109,Jun 15  2019,8943576.048495293
110,Jun 14  2019,7852116.485519748
111,Jun 13  2019,7405087.313006139
112,Jun 12  2019,1499530.6836957391
113,Jun 11  2019,1589100.6817198077
114,Jun 10  2019,1611555.0327066856
115,Jun 09  2019,1355581.1540060563
116,Jun 08  2019,2160383.1427921522
117,Jun 07  2019,1182413.5389989773
118,Jun 06  2019,993846.9343373846
119,Jun 05  2019,1083859.356388792
120,Jun 04  2019,1885981.258818397
121,Jun 03  2019,1369410.5988975554
122,Jun 02  2019,1403043.436834731
123,Jun 01  2019,1755982.929635176
124,May 31  2019,1985744.4131391728
125,May 30  2019,4289426.601585409
126,May 29  2019,2064326.5284404033
127,May 28  2019,1947255.9006505972
128,May 27  2019,2986590.851342484
129,May 26  2019,1930328.482215611
130,May 25  2019,1665819.500413873
131,May 24  2019,2039899.9504885722
132,May 23  2019,2442907.1288138586
133,May 22  2019,1777637.6411729131
134,May 21  2019,1957734.2150818303
135,May 20  2019,2438415.5808385103
136,May 19  2019,2476062.823867102
137,May 18  2019,1690272.481824813
138,May 17  2019,2382532.860108032
139,May 16  2019,2920076.405040441
140,May 15  2019,3961100.736637486
141,May 14  2019,4766048.801104031
142,May 13  2019,1647928.358772666
143,May 12  2019,1563665.1797554223
144,May 11  2019,2161836.8546047136
145,May 10  2019,1259563.7389439247
146,May 09  2019,1338826.2636826735
147,May 08  2019,1193846.0187444896
148,May 07  2019,2580751.500754872
149,May 06  2019,1546823.7072274769
150,May 05  2019,1213128.4214131394
151,May 04  2019,1419132.1165064424
152,May 03  2019,1682301.5929692776
153,May 02  2019,1621960.7226108797
154,May 01  2019,1138750.497813194
155,Apr 30  2019,1254261.6189874627
156,Apr 29  2019,1050939.137223683
157,Apr 28  2019,1278747.632311174
158,Apr 27  2019,1165251.8484374408
159,Apr 26  2019,1183680.2704079202
160,Apr 25  2019,1253837.0892180093
161,Apr 24  2019,2133615.7077166503
162,Apr 23  2019,1606963.4797638692
163,Apr 22  2019,1547102.4318165511
164,Apr 21  2019,1440774.743069267
165,Apr 20  2019,1180558.0410393614
166,Apr 19  2019,1503876.439949088
167,Apr 18  2019,1959182.836571557
168,Apr 17  2019,3095259.120267941
169,Apr 16  2019,1311291.0550530483
170,Apr 15  2019,3160008.169950683
171,Apr 14  2019,5452446.424923768
172,Apr 13  2019,1187382.337287877
173,Apr 12  2019,1239804.386700657
174,Apr 11  2019,2604934.385911633
175,Apr 10  2019,3928994.7874060543
176,Apr 09  2019,1478284.031173112
177,Apr 08  2019,1492043.6023131597
178,Apr 07  2019,1328009.7771422719
179,Apr 06  2019,2391153.824227695
180,Apr 05  2019,2793437.0987794064
181,Apr 04  2019,2250656.7674490525
182,Apr 03  2019,3537452.6747362376
183,Apr 02  2019,3571355.915977561
184,Apr 01  2019,2203635.917653586
185,Mar 31  2019,2198487.3531364584
186,Mar 30  2019,1567079.9086095514
187,Mar 29  2019,1828234.5361113066
188,Mar 28  2019,2034607.1617860582
189,Mar 27  2019,2215527.585468789
190,Mar 26  2019,2149045.2149692453
191,Mar 25  2019,2518012.2616389096
192,Mar 24  2019,1507293.9941227124
193,Mar 23  2019,1580997.7677849769
194,Mar 22  2019,1638650.3274614278
195,Mar 21  2019,1640841.4554002853
196,Mar 20  2019,1612862.1229654779
197,Mar 19  2019,1601466.7477932097
198,Mar 18  2019,1578533.3020546115
199,Mar 17  2019,1485167.9354099184
200,Mar 16  2019,1835685.1978566782
201,Mar 15  2019,2930728.3265319075
202,Mar 14  2019,6760994.223681876
203,Mar 13  2019,3690256.4549100557
204,Mar 12  2019,13664899.484823968
205,Mar 11  2019,1728781.991770449
206,Mar 10  2019,1396091.6173312648
207,Mar 09  2019,1397706.024489123
208,Mar 08  2019,1383359.6870513153
209,Mar 07  2019,1614802.3600197455
210,Mar 06  2019,1443809.5773048173
211,Mar 05  2019,1677733.309658671
212,Mar 04  2019,1589358.928862806
213,Mar 03  2019,1530464.1459610444
214,Mar 02  2019,1289517.6954079373
215,Mar 01  2019,1317798.0824088794
216,Feb 28  2019,1168012.4811963427
217,Feb 27  2019,1261850.9985507906
218,Feb 26  2019,1483045.19775933
219,Feb 25  2019,1385527.0297651521
220,Feb 24  2019,1482647.5186192472
221,Feb 23  2019,1291302.3629755673
222,Feb 22  2019,1367448.0793928583
223,Feb 21  2019,1645359.5575875277
224,Feb 20  2019,1749316.6633622134
225,Feb 19  2019,3030704.0605510846
226,Feb 18  2019,2436314.791930797
227,Feb 17  2019,1630537.5596103936
228,Feb 16  2019,1366524.1855105788
229,Feb 15  2019,1316974.1945630778
