,Date,weighted_market
0,Oct 02  2019,45827508.0
1,Oct 01  2019,46807431.0
2,Sep 30  2019,46384983.0
3,Sep 29  2019,46906206.0
4,Sep 28  2019,47820687.75
5,Sep 27  2019,46574186.5
6,Sep 26  2019,44704946.5
7,Sep 25  2019,46161821.0
8,Sep 24  2019,47415145.0
9,Sep 23  2019,54822699.75
10,Sep 22  2019,59122893.5
11,Sep 21  2019,59626185.5
12,Sep 20  2019,61305301.5
13,Sep 19  2019,61940866.25
14,Sep 18  2019,60805974.5
15,Sep 17  2019,58841472.75
16,Sep 16  2019,57992676.5
17,Sep 15  2019,60212563.5
18,Sep 14  2019,61096729.75
19,Sep 13  2019,61312433.0
20,Sep 12  2019,61772953.0
21,Sep 11  2019,59794856.0
22,Sep 10  2019,60559237.0
23,Sep 09  2019,63820214.5
24,Sep 08  2019,65709649.25
25,Sep 07  2019,64206222.0
26,Sep 06  2019,62892765.5
27,Sep 05  2019,64759575.0
28,Sep 04  2019,65135154.75
29,Sep 03  2019,67005672.75
30,Sep 02  2019,65164659.5
31,Sep 01  2019,62912164.0
32,Aug 31  2019,59846576.25
33,Aug 30  2019,59987026.75
34,Aug 29  2019,59609287.25
35,Aug 28  2019,60610046.5
36,Aug 27  2019,63977005.25
37,Aug 26  2019,66001942.25
38,Aug 25  2019,65072853.5
39,Aug 24  2019,65251154.25
40,Aug 23  2019,66514542.0
41,Aug 22  2019,65509875.0
42,Aug 21  2019,65566340.5
43,Aug 20  2019,69675019.75
44,Aug 19  2019,70390476.25
45,Aug 18  2019,67802977.0
46,Aug 17  2019,66914037.75
47,Aug 16  2019,67067720.5
48,Aug 15  2019,66820472.75
49,Aug 14  2019,68020710.75
50,Aug 13  2019,69084743.25
51,Aug 12  2019,71794070.5
52,Aug 11  2019,72991470.75
53,Aug 10  2019,71356530.0
54,Aug 09  2019,71048833.25
55,Aug 08  2019,72359480.5
56,Aug 07  2019,79066841.0
57,Aug 06  2019,80770800.25
58,Aug 05  2019,80936920.0
59,Aug 04  2019,74135854.5
60,Aug 03  2019,73456802.75
61,Aug 02  2019,73987739.0
62,Aug 01  2019,72437842.5
63,Jul 31  2019,70038109.75
64,Jul 30  2019,65762745.75
65,Jul 29  2019,66680527.0
66,Jul 28  2019,67265861.5
67,Jul 27  2019,66859335.5
68,Jul 26  2019,69554002.75
69,Jul 25  2019,70372995.75
70,Jul 24  2019,71422838.75
71,Jul 23  2019,72903489.0
72,Jul 22  2019,75038309.5
73,Jul 21  2019,77082281.0
74,Jul 20  2019,77318128.25
75,Jul 19  2019,74758829.5
76,Jul 18  2019,75716655.0
77,Jul 17  2019,72318609.5
78,Jul 16  2019,68113609.75
79,Jul 15  2019,78518062.5
80,Jul 14  2019,73711261.5
81,Jul 13  2019,80232809.0
82,Jul 12  2019,81762014.0
83,Jul 11  2019,78461905.25
84,Jul 10  2019,84560457.5
85,Jul 09  2019,86595745.5
86,Jul 08  2019,84194076.25
87,Jul 07  2019,82151972.75
88,Jul 06  2019,78475053.5
89,Jul 05  2019,76967800.25
90,Jul 04  2019,78943965.75
91,Jul 03  2019,82362320.75
92,Jul 02  2019,75629550.75
93,Jul 01  2019,76246814.75
94,Jun 30  2019,78857865.5
95,Jun 29  2019,90652041.25
96,Jun 28  2019,87603388.25
97,Jun 27  2019,80171787.75
98,Jun 26  2019,90745784.5
99,Jun 25  2019,83523195.25
100,Jun 24  2019,84995417.75
101,Jun 23  2019,89584392.25
102,Jun 22  2019,80457268.75
103,Jun 21  2019,77247197.0
104,Jun 20  2019,76404532.5
105,Jun 19  2019,74287650.5
106,Jun 18  2019,75176522.75
107,Jun 17  2019,76050507.5
108,Jun 16  2019,73216284.25
109,Jun 15  2019,72745524.25
110,Jun 14  2019,70180565.5
111,Jun 13  2019,72964739.0
112,Jun 12  2019,74093979.75
113,Jun 11  2019,73622851.25
114,Jun 10  2019,71990418.75
115,Jun 09  2019,69811287.0
116,Jun 08  2019,69185225.5
117,Jun 07  2019,69987921.75
118,Jun 06  2019,67061294.75
119,Jun 05  2019,68288380.0
120,Jun 04  2019,66402699.5
121,Jun 03  2019,70169425.25
122,Jun 02  2019,75951647.5
123,Jun 01  2019,73545543.75
124,May 31  2019,73113076.0
125,May 30  2019,71919145.0
126,May 29  2019,73573811.75
127,May 28  2019,73918476.5
128,May 27  2019,76287567.25
129,May 26  2019,74740542.25
130,May 25  2019,72725520.75
131,May 24  2019,71949520.75
132,May 23  2019,71273932.5
133,May 22  2019,72686344.5
134,May 21  2019,76989074.25
135,May 20  2019,76771442.0
136,May 19  2019,78295011.5
137,May 18  2019,74740035.75
138,May 17  2019,74030958.5
139,May 16  2019,79431184.5
140,May 15  2019,86077530.25
141,May 14  2019,73177886.75
142,May 13  2019,73491825.75
143,May 12  2019,69012111.5
144,May 11  2019,74857624.5
145,May 10  2019,65967164.25
146,May 09  2019,66093256.25
147,May 08  2019,65490286.5
148,May 07  2019,65211220.25
149,May 06  2019,66178516.5
150,May 05  2019,67122249.75
151,May 04  2019,66992239.5
152,May 03  2019,67137225.75
153,May 02  2019,63586025.75
154,May 01  2019,62306056.0
155,Apr 30  2019,60739742.75
156,Apr 29  2019,59346505.0
157,Apr 28  2019,61793345.75
158,Apr 27  2019,59316983.0
159,Apr 26  2019,58603071.75
160,Apr 25  2019,59055114.5
161,Apr 24  2019,64802435.75
162,Apr 23  2019,64038489.5
163,Apr 22  2019,65203261.5
164,Apr 21  2019,64992420.5
165,Apr 20  2019,65119623.25
166,Apr 19  2019,63880745.0
167,Apr 18  2019,63576251.25
168,Apr 17  2019,62845228.5
169,Apr 16  2019,62396077.25
170,Apr 15  2019,60979815.25
171,Apr 14  2019,63666231.5
172,Apr 13  2019,61281427.25
173,Apr 12  2019,60309674.5
174,Apr 11  2019,60158735.25
175,Apr 10  2019,64292675.25
176,Apr 09  2019,64009064.75
177,Apr 08  2019,65426980.75
178,Apr 07  2019,64853722.5
179,Apr 06  2019,62944638.75
180,Apr 05  2019,64215705.25
181,Apr 04  2019,58959014.75
182,Apr 03  2019,60194443.75
183,Apr 02  2019,58679357.5
184,Apr 01  2019,50570328.75
185,Mar 31  2019,50941918.0
186,Mar 30  2019,48943517.25
187,Mar 29  2019,49673988.25
188,Mar 28  2019,49893923.75
189,Mar 27  2019,49290719.75
190,Mar 26  2019,47436763.5
191,Mar 25  2019,48405463.75
192,Mar 24  2019,47751874.25
193,Mar 23  2019,48183795.75
194,Mar 22  2019,48044128.75
195,Mar 21  2019,47633239.25
196,Mar 20  2019,48692729.5
197,Mar 19  2019,48721270.5
198,Mar 18  2019,49395142.25
199,Mar 17  2019,50012543.25
200,Mar 16  2019,49189670.25
201,Mar 15  2019,49686420.75
202,Mar 14  2019,49002425.5
203,Mar 13  2019,46871534.25
204,Mar 12  2019,46744425.25
205,Mar 11  2019,41917202.25
206,Mar 10  2019,42085716.75
207,Mar 09  2019,41550497.75
208,Mar 08  2019,40490715.0
209,Mar 07  2019,41419371.25
210,Mar 06  2019,41680468.5
211,Mar 05  2019,41834169.25
212,Mar 04  2019,40274406.25
213,Mar 03  2019,41889355.0
214,Mar 02  2019,42310936.75
215,Mar 01  2019,41454198.0
216,Feb 28  2019,41564427.5
217,Feb 27  2019,41645468.0
218,Feb 26  2019,41938796.25
219,Feb 25  2019,41328253.5
220,Feb 24  2019,40397686.0
221,Feb 23  2019,44865593.5
222,Feb 22  2019,43177054.25
223,Feb 21  2019,41815261.0
224,Feb 20  2019,43047236.75
225,Feb 19  2019,43763865.25
226,Feb 18  2019,44330010.75
227,Feb 17  2019,42157000.25
228,Feb 16  2019,41516810.25
229,Feb 15  2019,41493411.0
230,Feb 14  2019,41404260.75
231,Feb 13  2019,41448498.5
232,Feb 12  2019,41642295.75
233,Feb 11  2019,41314426.25
234,Feb 10  2019,42234673.0
235,Feb 09  2019,41111067.75
236,Feb 08  2019,41055726.5
237,Feb 07  2019,37739995.0
238,Feb 06  2019,37083220.75
239,Feb 05  2019,39419470.0
240,Feb 04  2019,39024349.75
241,Feb 03  2019,39389635.75
242,Feb 02  2019,39202885.25
243,Feb 01  2019,39174513.5
244,Jan 31  2019,38871140.5
245,Jan 30  2019,40190159.0
246,Jan 29  2019,39798731.75
247,Jan 28  2019,40623454.5
248,Jan 27  2019,41917692.25
249,Jan 26  2019,42349236.5
250,Jan 25  2019,42012503.75
251,Jan 24  2019,42752366.5
252,Jan 23  2019,42384976.75
253,Jan 22  2019,42294571.5
254,Jan 21  2019,41726553.25
255,Jan 20  2019,41172707.75
256,Jan 19  2019,43497222.25
257,Jan 18  2019,42550433.5
258,Jan 17  2019,42770977.75
259,Jan 16  2019,41780593.75
260,Jan 15  2019,40719334.25
261,Jan 14  2019,40594394.0
262,Jan 13  2019,39650434.0
263,Jan 12  2019,42447370.25
264,Jan 11  2019,41471112.75
265,Jan 10  2019,40215957.0
266,Jan 09  2019,46137804.25
267,Jan 08  2019,44693252.0
268,Jan 07  2019,46256893.75
269,Jan 06  2019,47365685.75
270,Jan 05  2019,44526353.5
271,Jan 04  2019,44779636.5
272,Jan 03  2019,43999149.0
273,Jan 02  2019,44520817.5
274,Jan 01  2019,42167288.75
275,Dec 31  2018,40139094.75
276,Dec 30  2018,44780647.25
277,Dec 29  2018,43764507.75
278,Dec 28  2018,47715524.0
279,Dec 27  2018,39344362.0
280,Dec 26  2018,43412300.75
281,Dec 25  2018,43471657.75
282,Dec 24  2018,47559348.5
283,Dec 23  2018,45990050.75
284,Dec 22  2018,45010328.75
285,Dec 21  2018,43470751.0
286,Dec 20  2018,47151086.75
287,Dec 19  2018,43743037.75
288,Dec 18  2018,44005785.5
289,Dec 17  2018,38429300.0
290,Dec 16  2018,35968804.75
291,Dec 15  2018,34611919.25
292,Dec 14  2018,36143648.0
293,Dec 13  2018,34951913.75
294,Dec 12  2018,35749424.0
295,Dec 11  2018,35598063.0
296,Dec 10  2018,37531621.25
297,Dec 09  2018,41979220.75
298,Dec 08  2018,40598493.0
299,Dec 07  2018,40806749.25
300,Dec 06  2018,43401606.0
301,Dec 05  2018,44777734.0
302,Dec 04  2018,46654328.0
303,Dec 03  2018,45617167.0
304,Dec 02  2018,48720229.5
305,Dec 01  2018,49010291.5
306,Nov 30  2018,47014812.0
307,Nov 29  2018,50635276.75
308,Nov 28  2018,50947587.0
309,Nov 27  2018,46348818.25
310,Nov 26  2018,46111679.75
311,Nov 25  2018,50069793.25
312,Nov 24  2018,48119704.0
313,Nov 23  2018,54134703.25
314,Nov 22  2018,57322823.0
315,Nov 21  2018,61060581.25
316,Nov 20  2018,56593574.5
317,Nov 19  2018,60190764.75
318,Nov 18  2018,77197445.75
319,Nov 17  2018,75738098.0
320,Nov 16  2018,76443634.5
321,Nov 15  2018,79935796.5
322,Nov 14  2018,79906867.75
323,Nov 13  2018,90261529.5
324,Nov 12  2018,92125176.5
325,Nov 11  2018,90658525.0
326,Nov 10  2018,93035988.5
327,Nov 09  2018,93717193.0
328,Nov 08  2018,90144446.25
329,Nov 07  2018,94440921.75
330,Nov 06  2018,93571709.0
331,Nov 05  2018,90895593.25
332,Nov 04  2018,92822123.0
333,Nov 03  2018,93410307.5
334,Nov 02  2018,97001307.25
335,Nov 01  2018,92669774.25
336,Oct 31  2018,91558399.5
337,Oct 30  2018,91892024.5
338,Oct 29  2018,91835946.0
339,Oct 28  2018,101353965.5
340,Oct 27  2018,98331408.5
341,Oct 26  2018,99753029.25
342,Oct 25  2018,99317533.75
343,Oct 24  2018,108807176.25
344,Oct 23  2018,116444162.25
345,Oct 22  2018,88277352.0
346,Oct 21  2018,87627768.5
347,Oct 20  2018,88331115.75
348,Oct 19  2018,87978837.25
349,Oct 18  2018,89382306.75
350,Oct 17  2018,90304688.5
351,Oct 16  2018,92147674.5
352,Oct 15  2018,90090042.0
353,Oct 14  2018,84319661.75
354,Oct 13  2018,86013479.0
355,Oct 12  2018,82241314.75
356,Oct 11  2018,83005362.25
357,Oct 10  2018,93257100.0
358,Oct 09  2018,92302197.75
359,Oct 08  2018,99896027.0
